score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,TOP CLASS IN EVERY WAY FANTASTIC HOTEL,Absolutely fantastic hotel. Staff are extremely professional friendly and helpful. Hotel is beautiful and rooms are spacious.,Perfect in every way.,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,September 2021,7 October 2021,,
8.0,A hotel with great atmosphere and service in an excellent location.,"The gentleman who brought our bags to the room and settled us in was excellent, had the most charming manner, was helpful and his customer service was above and beyond (I wish I could remember his name in order to commend him to the management). Service at breakfast was very pleasant and the door staff and reception staff were courteous. The hotel was clean and nicely maintained, as it was during our last visit over 10 years ago. We stayed in a family room and it was a very generous size and well appointed. IF you have a lot of luggage or want space to relax then it is definitely worth booking this size of room.We noted that the bar downstairs also stocked a much better selection of spirits than during our last visit, so that was very welcome.","We found it disappointing that certain useful items that we would have expected to be in the room - i.e. enough glasses/mugs for the three of us (2 adults and a child) and also small plate and basic cutlery would have been useful. We needed to chop some fruit as a snack for our child and were told that there would be a 5GBP charge to bring a plate and cutlery to the room. In the end the charge was waived, however we found it quite ungenerous not to provide such basic amenities in the first place. We found the price point for breakfast quite high because we only wished to have a light breakfast - it really is only worth it  if you want to have a large breakfast and take advantage of the buffet. That said, it was very nice and, as always, the Winter Garden is a lovely place to enjoy a meal.",Malaysia,Family Room (2 Adults + 2 Children),3 nights ·,Family,October 2021,7 October 2021,,
10,Exceptional,"Great location, room was very spacious, staff very helpful.",Couldn’t seem to get the tv to work but minor issue,United Kingdom,Executive Double Room,3 nights ·,Solo traveller,October 2021,7 October 2021,,
9.0,Superb,Amazing service and pool and spa.,"Only thing which is a little negative was the bathroom, needs upgrading to match the excellent bedroom.",United Kingdom,Double Room,2 nights ·,Couple,October 2021,6 October 2021,,
10,Perfect!,"I'm so glad I booked this for my honeymoon. I had the best time! I've always wanted to stay here and I'm so glad I did. The room was so spacious and big, bed was so comfy. All in all, this was a great hotel. I would recommend it to anyone who is looking to book to book eyes closed! Also thank you to the staff who made my stay a memorable one.",Everything was fine!,United Kingdom,Executive Double Room,2 nights ·,Couple,August 2021,6 October 2021,,
10,Exceptional,Stayed here before and the service and accommodation is always spot on. Plus the family is the perfect size when travelling with a child.,Minor criticism - bar staff need to refresh their knowledge on (classic) cocktails and beers on offer.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,October 2021,6 October 2021,,
10,Exceptional service and very spacious room.,"The breakfast was great, there were lots of choices and the food was delicious. The room was spacious and very clean. The spa facilities were exceptional and there were very few people using the pool.",The only issue we had was with the pipes in the room. When flushing sometimes they made a horrible noise.,United Kingdom,Double Room,1 night ·,Couple,September 2021,6 October 2021,,
10,Exceptional,Excellent in everything!,Nothing goes wrong.,Kuwait,Double Room,2 nights ·,Family,October 2021,5 October 2021,,
10,Wonderful treat for my wife’s birthday.,Weekend breakfast (buffet) excellent. Monday breakfast - not sure of price of cooked breakfast in addition to the continental.,Saturday night noisy in the atrium which magnified the noise - wedding party guests. Hotel staff did not seem to ask them to quieten.,United Kingdom,Double Room,2 nights ·,Couple,October 2021,4 October 2021,,
9.0,Overall excellent experience. Will be booking again,Breakfast was great.,Bathrooms need updating interns of interior deco and beds need a mattress topper to make them mor comfortable.,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,September 2021,3 October 2021,,
10,Fantastic!!,An amazing experience in an exceptional hotel.  The highlight is the main entrance and winter garden.  Great for taking memorable photos.  Spa facilities were great…not to busy and everything from towels and robes provided.  Will defiantly stay at this hotel again.  Staff were very helpful and amazing!!,,United Kingdom,Executive Double Room,3 nights ·,Couple,October 2021,3 October 2021,,
10,Stay at landmark,Everything was to perfection . Some lovely touches were made to the room as it was our anniversary. We also really appreciated the upgrade. It was a memorable stay and we will definitely return.,,United Kingdom,Suite,1 night ·,Couple,October 2021,2 October 2021,,
9.0,Honeymoon dream,Opulent the staff were very kind as my wife broke her foot and was laid up all the time we were there.We would like to come back so we can enjoy it all the more,Nothing,United Kingdom,Executive Double Room,6 nights ·,Couple,September 2021,1 October 2021,,
9.0,Superb,Location,Sadly they were short staffed but this is not their fault . The staff who were there were very friendly and helpful . The fact that both bars are closed on a Sunday night does detract from ambiance and facilities in the hotel . Overall a good experience though.,Ireland,Family Room (2 Adults + 2 Children),4 nights ·,Family,September 2021,1 October 2021,,
8.0,"great fun, beautiful hotel",Really happy generally. The only thing that really pissed me off was that it was my anniversary weekend and i asked four times if they could do anything for us and nothing ever happened. Doesnt take much to add little touches in business. But....lovely hotel and staff and we had a great time. maybe a little more attention to customers request though.,Really happy generally. The only thing that really pissed me off was that it was my anniversary weekend and i asked four times if they could do anything for us and nothing ever happened. Doesnt take much to add little touches in business. But....lovely hotel and staff and we had a great time. maybe a little more attention to customers request though.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Couple,September 2021,30 September 2021,1,
9.0,Wonderful anniversary stay,Beautiful building &amp; public areas. Room was large and exceptionally clean. Cocktails in the Mirror bar were wonderful.,,United Kingdom,Executive Double Room,1 night ·,Couple,September 2021,30 September 2021,1,
9.0,Superb,Excellent service! Very good staff,Nice and clean,Azerbaijan,Deluxe Suite,3 nights ·,Family,September 2021,29 September 2021,,
10,Exceptional,"The staff were amazing, a great holiday feel to the hotel with the stunning courtyard and great spa facilities. Concierge were great and met all my requests.",The beds were very firm and smoking needs to be controlled better in the hotel as two nights we had smoke coming into our room and all the way down the hallway.,United Kingdom,Double Room,1 night ·,Couple,September 2021,28 September 2021,,
10,"Beautiful hotel, great staff, great location",,You have to wear swim caps in the pool which is odd and actually put us off.We may not have booked here if we had known,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,August 2021,27 September 2021,,
10,Exceptional,"Everything was perfect the staff are amazing they even help with little things so don’t hesitate to ask and they have many arab staff’s which is amazing, I took a suite room and it was big  and nice it has a small living room. I highly recommend going to the breakfast  don’t miss it everything taste good. I have tried many many Luxury hotel’s in London but this one is Beyond extraordinary and i will definitely book it again Thank you for the amazing service:D",Everything is Perfect !,United Kingdom,Suite,2 nights ·,Family,September 2021,27 September 2021,,
9.0,One night if lux,Swimming pool and spa,Check in was slightly delayed,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,September 2021,27 September 2021,,
8.0,Very good,,Beds are too firm and so quite uncomfortable Music from wedding downstairs very loud,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,September 2021,26 September 2021,,
10,Brilliant,Everything was perfect,,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,26 September 2021,,
10,Memorable short holiday in a great hotel!,Great hotel. Pricey but you get what you pay for! Excellent friendly staff and loved the flower arrangements!,Nothing,United Kingdom,Double Room,3 nights ·,Family,September 2021,26 September 2021,,
10,Exceptional,"The settings were amazing, stunning hotel",Nothing,United Kingdom,Executive Double Room,1 night ·,Couple,September 2021,25 September 2021,,
10,"very welcoming and we enjoyed a relaxed stay, thank you","ENJOYED EVERYTHING, AND MANAGED TO RELAX",NOTHING,United Kingdom,Double Room,1 night ·,Couple,September 2021,24 September 2021,,
10,excellent location and definately worth 5 stars,Great location from kingscross and just a stones throw away from all the major attractions in the city. As soon as you walk in the hotel it “smells” like 5 stars. The staff were incredibly helpful and friendly. The king size bed was the comfiest we’ve had in years. We’d definitely consider staying again in future! excellent hotel.,"Not so much we didn’t like, but we felt the £35 for a breakfast was a little extortionate. From a distance there was a large selection of delicious food, but the price seemed to cater for the business traveller who claims on company expenses and not the leisure traveller. Maybe access to a selection of breakfast,  or a “pay for what you eat” selection may appeal to future guests?",United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,24 September 2021,1,
10,Perfect.,"I stayed here for a few nights for my boyfriends birthday. The hotel provided us with  complimentary champagne and chocolate covered strawberries in our room on arrival to celebrate which was a lovely touch. The breakfast was amazing with beautiful views, a large variety of food which was  scrumptious - the chefs also cater for additional breakfast items such as an omelette as this is not in the menu.The swimming pool and jacuzzi area was lovely and a very nice area to wind down which was managed with booking so it did not get over crowded. Would definitely recommend for a couples getaway!",The sauna could have been a little hotter,United Kingdom,Double Room,2 nights ·,Couple,September 2021,23 September 2021,1,
10,Exceptional,Checked with a room upgrade   exc8,Nothing,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,22 September 2021,,
10,Incredible,Everything about this stay was perfect,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,22 September 2021,,
10,Exceptional,Excellent place to stay. Staff can’t do enough for you,Nothing,United Kingdom,Double Room,3 nights ·,Family,September 2021,21 September 2021,,
10,Stunning hotel with exceptional staff,loved our suite,the concierge was a bit slow,United Kingdom,Double Room,1 night ·,Couple,September 2021,21 September 2021,,
10,Excellent,Everything the scenery was beautiful the staff were helpfull the room was clean food was lovely,Nothing,United Kingdom,Double Room,1 night ·,Family,July 2021,21 September 2021,,
10,Spacious room with the most helpful &amp; friendly staff,"I often stay in Marylebone as is the best for my travel options but hadn't stayed here before - now I won't stay anywhere else. The staff were very friendly and helpful, nothing is too much for them (this applies to reception, the different bars, breakfast area and spa/gym). The room was much bigger than I expected with a large, comfy bed and big TV that is all set up with Sky and apps. The view was to the garden which was lovely. I had a great couple of nights sleep and made the most of the buffet style breakfast on my final morning - everything was delicious.","I hadn't realized there would be a £5 service charge for the use of a tray to deliver two coffees to the room (had not requested a tray). It's a small thing, just not something I was aware of and could be worth noting!",United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,20 September 2021,,
9.0,We had an enjoyable stay &amp; would book again,"Beautiful room. Staff very helpful &amp; pleasant. Enjoyed one breakfast &amp; one evening meal. Location was perfect, as we arrived by train.","It seems the same all over London, but everything had a 12.5% service charge, on top of the prices.",United Kingdom,Double Room,3 nights ·,Couple,September 2021,20 September 2021,,
10,Exceptional,"The service was amazing and the quality was outstanding, we had an amazing stay for our anniversary:)",,United Kingdom,Double Room,1 night ·,Couple,September 2021,20 September 2021,,
9.0,Great service and we got upgraded for a special occasion,The room was great. The spa area was also a real treat,The breakfast area is way to small for the amount of guests that they have but the queue was pretty quick!,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,20 September 2021,,
9.0,Great family hotel,"Family bedroom was fab, great size.The staff were attentive &amp; friendly",Nothing! Staff were exceptional!!,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,September 2021,20 September 2021,,
9.0,Superb,"Luxurious interior, clean, smells lovely, friendly and v helpful staff, clean spa which did not feel overcrowded and felt safe to use.","Very small gym with very limited equipment; limited spa time so you must book ahead in order to use so there is limited availability (appreciate this is due to covid so this isn’t a bad thing, just make sure that you plan ahead!)",United Kingdom,Double Room,1 night ·,Group,September 2021,19 September 2021,,
10,Exceptional,Everything,,United Kingdom,Double Room,1 night ·,Couple,September 2021,19 September 2021,,
10,Amazing Stay,The property was amazing from start to finish. The staff were exceptional and it was a super trip away.,N/A,United Kingdom,Double Room,2 nights ·,Couple,September 2021,19 September 2021,,
10,Romantic stay,We liked everything. The hotel and staff are so attentive and courteous. Highly recommend the hotel for all the amenities and the lovely architecture,,United Kingdom,Landmark Junior Suite,2 nights ·,Couple,September 2021,19 September 2021,,
10,perfect stay,"great location, everyone willing to help and accommodate. spacious room.",nothing,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,September 2021,18 September 2021,,
10,Really enjoyed the stay and had an excellent time in the spa,Very clean and spacious room with an excellent spa,Concierge was rude to my partner,United Kingdom,Double Room,1 night ·,Couple,September 2021,17 September 2021,,
10,Exceptional,"Pretty much everything. It was a beautiful hotel with a truly lovely spa, great food and fantasticly friendly staff.",There was absolutely nothing that I did not like.,United Kingdom,Double Room,2 nights ·,Couple,September 2021,17 September 2021,1,
10,Exceptional,Fabulous hotel staff so friendly and helpful give me an upgrade for my friends birthday and graduating becoming a nurse and champagne and cake in the room as well so generous it was lovely,Everything perfect,United Kingdom,Double Room,1 night ·,Group,September 2021,16 September 2021,,
9.0,Superb,The staff were always helpful and obliging!,,United Kingdom,Deluxe Double Room,3 nights ·,Family,July 2021,15 September 2021,,
9.0,Superb,Old school service and values,Getting in to the pool was a little restrictive.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,September 2021,15 September 2021,,
10,Exceptional,Everything. And their generous amazing breakfast buffet!,None,United Kingdom,Double Room,1 night ·,Solo traveller,September 2021,14 September 2021,,
10,Staff amazing,Superb,,United Kingdom,Deluxe Double Room,1 night ·,Group,September 2021,12 September 2021,,
10,Exceptional,"Fantastic room, facilities, location and staff.",,United Kingdom,Double Room,1 night ·,Couple,June 2021,12 September 2021,,
10,Exceptional!,"beautiful hotel, amazing staff",nothing,United Kingdom,Double Room,2 nights ·,Couple,July 2021,12 September 2021,,
10,Another great stay,Ideally located for Lords Cricket Ground. Either a 20 leisurely walk or a short black cab ride. The back doors are adjacent to Marylebone so easy for underground or overground trains Comfortable room which had a couple of issues (air con and wardrobe light). These were immediately rectified by the maintenance team. Breakfast is an excellent spread of all the usual delicacies plus more unusual Middle Eastern fare.Swimming pool open and booking times available even though our stay was in school holidays. Be sure to pay a visit to the Globe Pub on Lisson Grove. Excellent craft beers and wine,Nothing - we have stayed over 100 times in the past 25 years and have never had a bad experience,United Kingdom,Double Room,4 nights ·,Couple,August 2021,11 September 2021,,
10,Excellent.,Yummy!,,United Kingdom,Double Room,1 night ·,Solo traveller,September 2021,10 September 2021,,
9.0,Superb,"The courtyard was beautiful, the breakfast that was included in our room was great, really recommend having your breakfast down there instead of room service at-least once for the beautiful experience and scenery. We had a massage each, I had the head and neck, and it was the best massage I’d ever had. Spa facilities were really nice. Upgraded us as it was our first anniversary, felt special and gave us champagne in our room and rose petals on bed.","I would have liked if the steam room was a bit hotter, and it was a shame there wasn’t a sauna. The pool area was slightly dull compared to the rest of the property, I felt it could have been more “luxury”. The pool and area in general smelt like fuel for some reason also. That was off-putting, I feel lighting and smell are really important parts of rooms &amp; experiences. The pool area definitely lacked the special feel that the rest off the hotel had.  Also, a “deposit” was taken on my husbands card, the cost of the hotel and damage deposit on arrival, I then actually payed when we left with my card. We were quite disappointed that we had to chase up that deposit refund for 5 weeks after our stay. We waiting 3/4 weeks for it to settle on its own, then had to make multiple calls to get it sorted. Was a bit of a fuss after a nice stay.",United Kingdom,Executive Double Room,1 night ·,Couple,August 2021,10 September 2021,,
9.0,Great hotel for both luxury and location,"Most of it! Great location, staff friendly and helpful and the family room was very comfortable and spacious.",Very little.,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,September 2021,10 September 2021,,
10,Honeymoon,Everything was excellent just AC let you down,No carpark arrangements.AC wasn't working however we were very happy with our upgrade,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,10 September 2021,,
9.0,Honeymoon,Beautiful clean hotel . Rooms comfy and big. Staff friendly.,There was a long wait when we ordered drinks in the lobby area. Cooked breakfasts were hit and miss. But overall a lovely hotel .,United Kingdom,Double Room,4 nights ·,Couple,September 2021,9 September 2021,,
10,"Hotel was good. Friendly staffs, always willing to assist.","The Palm tree in the middle of the lobby, making it look different as hotel is located in the heart of London.Friends were asking what country was that ?",Nothing to dislike.,United Kingdom,Double Room,2 nights ·,Couple,September 2021,9 September 2021,,
10,Will definitely be returning,"The hotel could not do enough for us. We didn’t realise you had to book a slot for the pool, so the staff kindly kept it open after closing for me and my family. They also fitted us in the following morning. Nothing was too much to ask for.",,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,September 2021,9 September 2021,,
10,Exceptional,"Everything was amazing I cannot fault a single thing. Staff, food, decor, rooms, cleanliness, just phenomenal!",,United Kingdom,Double Room,1 night ·,Couple,September 2021,9 September 2021,,
9.0,Superb,Large clean executive roomLocated close to transport network Helpful staffPricey but worth every penny,,United Kingdom,Executive Double Room,3 nights ·,Solo traveller,September 2021,8 September 2021,,
10,Friendly and accommodating staff,Great location and well maintained,,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,September 2021,8 September 2021,,
8.0,The landmark review,I really loved how the staff was really nice and the room was really clean.,When I ordered room service the pancakes were tiny it was not worth the money.,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,September 2021,8 September 2021,,
10,Review 31.08.21-03.09.21.,"Beautiful hotel- stunning reception area, the winter gardens are fabulous and the rooms are just as they where described online. Afternoon tea was expensive but lovely. Friendly staff especially the staff at the Winter Gardens, Mirror Bar and the door men were very chatty, welcoming and attentive. They provided helpful advice in terms of directions, use of the underground and just generally couldn’t do enough to help.","I felt the breakfast was over priced and this put my friend and I off eating at the hotel in the mornings. The evening meal menu we felt was limited. Whilst the afternoon tea was stunning, but it was expensive for what we received. The garden terrace was closed during our trip.",United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Group,September 2021,7 September 2021,,
9.0,Superb,The spa and pool excellent,,United Kingdom,Double Room,2 nights ·,Couple,September 2021,6 September 2021,,
10,Exceptional,"Dating from 1899 and in great condition, luxury with class.Not opulent but conservative, not sumptuous but elegant.Just how a great hotel should be",,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,5 September 2021,,
10,"Excellent stay , beautiful hotel feels like youre abroad. Amazing breakfast and really kind staff.","Excellet breakfast buffet, Family Room was amazing and absolutely huge! Pool /Spa was great. Lovely staff all round.Really accommodating for children.",We had to wait about 40mins for our room albeit checkin was at 3pm and room wasnt ready by then however we were very kindly offered complimentary drinks and some food until we were informed the room was ready.Beds could be more comfortable i found the mattresses were too firm and my husband and i suffered some back pain. Even mattress topper may of done the job.,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,September 2021,5 September 2021,1,
10,Exceptional,The atrium view from the room,The food price was a bit to expensive for what you get,United Kingdom,Deluxe Suite,1 night ·,Couple,September 2021,4 September 2021,,
9.0,Highly recommended,Had a wonderful stay at the Landmark Hotel. Amazing service &amp; hygiene especially in these trying times of Covid 19!,All was excellent nothing bad to say at all.,Saudi Arabia,Executive Double Room,2 nights ·,Family,September 2021,4 September 2021,,
10,Definitely worth a visit.,"Excellent hôtel with lovely staff, amazing breakfast  and good attention to detail.","The only negative was that I couldn't access the gym/spa - tried calling numerous times on arrival and couldn’t get through so emailed. I managed to speak to someone the following day (departure day), to only be able to get an afternoon slot, which was inconvenient due to trains. Also note, you have to wearing a swim cap for pool and jucuzzi which we weren’t aware of prior.",United Kingdom,Executive Double Room,1 night ·,Couple,September 2021,3 September 2021,,
10,Amazing staff. All the staff members from check in and throughout our staff are very professional and kind. I will defin,Breakfast was top of the class and very very very clean hotel.,Nothing I loved it all.,United Kingdom,Executive Double Room,2 nights ·,Couple,September 2021,3 September 2021,,
9.0,Excellent,"Good area , underground cross the road brilliant",Nice ares close to centre,United Kingdom,Double Room,3 nights ·,Family,August 2021,3 September 2021,,
10,Exceptional,Luxury surroundings,A separate residents lounge would be nice,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,2 September 2021,,
10,Beautiful Hotel and facilities. All staff were exceptional. Will return.,The room was very spacious and clean. It had everything required for a comfortable stay. Breakfast was excellent although rather expensive. Staff exceptionally helpful and polite.,"Screaming children in dining area after 11pm, playing, whilst parents attended a wedding reception. Hotel needs policy on acceptable behaviour made clear to Parents, enabling comfort for all guests.",United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,August 2021,1 September 2021,,
9.0,Mum and daughter trip,The staff were excellent!,,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2021,31 August 2021,,
9.0,Stunning hotel and ambience,My room was perfect and good views from my window to terrace.,,United Kingdom,Double Room,1 night ·,Family,August 2021,30 August 2021,,
9.0,Superb,Beautiful elegant property with great service,Although sky was available sky movies although shown could not be selected. For the price of the rooms I feel this should be a given,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2021,30 August 2021,,
10,Exceptional,Stunning hotelWhich smelt absolutely amazing! So clean and fresh!Lovely greetings by the door attendants every time we’d enter or leave the hotel.,,United Kingdom,Double Room,1 night ·,Couple,August 2021,29 August 2021,,
10,Lovely luxury trip!,"Room, location and staff were fantastic!",N/A,United Kingdom,Deluxe Double Room,1 night ·,Group,August 2021,29 August 2021,,
10,"Brilliant location, lovely room, amazing food and very accommodating/friendly staff who were great with the kids",Everything,,United Kingdom,Family Room (2 Adults + 2 Children),4 nights ·,Family,August 2021,29 August 2021,,
9.0,Superb,Service was great very nice clean room,Was surprised that we was not asked to gel our hands before breakfast,United Kingdom,Double Room,1 night ·,Couple,August 2021,29 August 2021,,
10,Amazing,Everything,Nothing,United Kingdom,Landmark Junior Suite,1 night ·,Couple,August 2021,28 August 2021,,
10,Amazing Hotel 5 * in every way,Loved the elegance and ambience. Friendly staff. Fabulous food.,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,28 August 2021,,
10,Exceptional,Beautiful entrance hall Attention to detail exceptional Staff very professional and accommodatingLovely room,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2021,28 August 2021,,
10,Fantastic,Everything was great.Staff was lovely and friendly Food was fantastic,N/aN/aN/a,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,27 August 2021,,
10,Highly RECOMMEND,The staff was very pleasant accommodating and paid attention to details,,United Kingdom,Double Room,2 nights ·,Group,August 2021,27 August 2021,,
8.0,Family break,The location and facilities are great,Lack of parking,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,26 August 2021,,
10,Wonderful staff,"Very nice staff, nothing too much. Spacious and great location",,United Kingdom,Executive Double Room,3 nights ·,Couple,August 2021,26 August 2021,,
8.0,Excellent locations. Friendly staff. Great service,Breakfast was amazing. Room was soo clean and spacious. Hotel location was brilliant.,"Spa. The steam room was unavailable. A lot of young children in the pool, jacuzzi outside of children hours.",United Kingdom,Executive Double Room,1 night ·,Couple,August 2021,26 August 2021,,
10,Exceptional,Staff extremely polite and professional,-,United Kingdom,Double Room,1 night ·,Couple,August 2021,26 August 2021,,
10,Exceptional,Opulence in a wonderful location. The breakfast was worth every penny too.,,United Kingdom,Executive Double Room,1 night ·,Group,July 2021,26 August 2021,,
10,Exceptional,Great hotel and facilities! Huge bedroom and bed.,Can't fault anything.,United Kingdom,Double Room,1 night ·,Couple,June 2021,26 August 2021,,
10,Exceptional,Lovd it,,United Kingdom,Double Room,1 night ·,Couple,August 2021,25 August 2021,,
9.0,Super stay in a luxurious hotel,Room was spacious and comfy with great toiletries from The White Company,Nothing,United Kingdom,Executive Double Room,1 night ·,Couple,August 2021,25 August 2021,,
10,Perfect in every way.,Large Room.Great location.Delicious Breakfast.,N/A,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,August 2021,25 August 2021,,
10,Wonderful trip!,Beautiful location stunning rooms,Nothing,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Group,August 2021,24 August 2021,,
10,Exceptional,"Our stay was lovely. Me and my girlfriend stayed at the landmark for our Anniversary, they made the room look lovely with petals and towels on the bed. Staff were great and very accommodating. Highly recommend.",,United Kingdom,Executive Double Room,1 night ·,Couple,August 2021,24 August 2021,,
10,Perfect family room and luxury,"Brilliant stay best hotel I've stayed at. Worth the money for the experience and the wonderful breakfast and room. Perfect for families thank you. The family room was perfect, large and relaxing, everyone had space to chill or play. The bathroom was large and had two sinks a bath and separate shower. The TV was great and free easy to use wi fi. The location is perfect for ease and was so quiet in the evening. The staff were lovely and warm and just made everything effortless. Thank you 😊 if you are thinking about going for this hotel but worry about the price, I say it's worth it and you won't be disappointed.",,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,24 August 2021,,
10,Superb location and excellent stay,"We stayed for a long weekend with our two young children.The stay was exceptional with the best breakfast we’ve had in London, plus very understating staff with having the children.A special thank you to Rupert one of the door men, gave us some advice and the kids loved him.Lovely to hear about his experiences and other hotels, really made us feel at home.We had a slight hiccup one afternoon but all was rectified and I was very happy with how it was handled, albeit a small mistake. We will definitely be back, the pool and spa experience definitely topped our stayThanks again",,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,August 2021,22 August 2021,,
9.0,Luxury but missing a few comforts,"The hotel itself is incredible and just walking around you know that it is a luxury establishment, the rooms are very spacious and very nice and there are good links with transport, good room service options and generally a lot to do and see in the vicinity.","The lighting options weren't very good in the room, especially the bathroom, either very bright, or, no light. Maybe better ventilation needed, very stuffy in the room, a window that opens would be nice, I got sick while I was there which I presume was via the air circulation (or lack of) throughout the hotel.",United Kingdom,Double Room,1 night ·,Solo traveller,June 2021,20 August 2021,,
10,Perfect Hotel,Certainly a 5 star hotel with all you would expect. Very attentive staff and a friendly feel about the place,Nothing,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,August 2021,20 August 2021,,
8.0,Access to pool limited,Very friendly staff,Very limited access to the pool for children. Very limited times and capacity   We were unable to find a slot over our two day stay which was disappointing.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,19 August 2021,,
10,Exceptional,"Excellent hotel, great staff","Stylish, gorgeous staff!",United Kingdom,Double Room,1 night ·,Couple,June 2021,18 August 2021,1,
10,Beautiful hotel and service,"The service was amazing, never felt like i was bothering staff. The room was beautiful and spacious. The breakfast was excellent on each day, only bug bear was a 10 minute wait for breakfast but was worth it, excellent selection of food.",The AC was slightly too loud so had to switch off before sleeping.,United Kingdom,Executive Double Room,2 nights ·,Couple,August 2021,18 August 2021,,
10,The best location for a romantic weekend by far,"Breakfast was fantastic all catered for and attention detail from the staff all the time. Bonus feature of the hotel is the spa, not to forget access to the train station directly from the hotel under cover amazing. Also try the mirror bar fantastic atmosphere",,United Kingdom,Double Room,2 nights ·,Couple,August 2021,16 August 2021,,
10,Lovely family friendly 5star service,Everything - amazing staff - luxury! Brilliant breakfast! Large rooms!,,United Kingdom,Family Room (2 Adults + 2 Children),3 nights ·,Family,August 2021,16 August 2021,,
9.0,Stay,"Very beautiful hotel, lovely smell, excellent food and service, room was very spacious","Everything was perfect, I found the mattress a bit hard",United Kingdom,Double Room,1 night ·,Family,August 2021,16 August 2021,,
10,Exceptional,Very professional,,United Kingdom,Double Room,4 nights ·,Solo traveller,August 2021,15 August 2021,,
10,Exceptional,Amazing perfect for children ! Room had a lovely tent,The pool you had to purchase a swimming cap £12 per person… was a shame had to purchase one for  my son who is 6 months old which didn’t fit at all.,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,July 2021,15 August 2021,,
8.0,Excellent stay for 2 nights.,Everything else except the bed (mattress),The mattress in double twin room were like sleeping on a rock. Not use to hard mattresses,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,15 August 2021,,
9.0,Would go back as beautiful hotel &amp; hope restaurant improves,Huge bed room dressing room &amp; bathroom. All excellent quality &amp; cleanliness. Opposite Marleybone station.Walking distance Regent’s Park &amp; zoo.Beautiful hotel v.friendly staff,They started hoovering restaurant while we were still at table. Frantic tidying &amp; gettingready for next day.Lunch &amp; evening meal nice Didn’t have breakfast as hate buffet style went to Italian cafe next door instead which was excellent.Very hard to book spa they seemed overwhelmed with emails so didn’t confirm booking until we constantly contacted them.,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,14 August 2021,,
10,Exceptional,"We really enjoyed our stay. The staff, hotel and location were on point. The hotel is a 20 minute walk from Bond Street and there is a bus stop and metro station right outside which takes about 10 minutes. Edgeware road is close by too so location is great. If your looking for halal food you will be spoilt for choice there are lots of lebenese restaurants, Nando’s and KFC across the road. From the moment we arrived to checkout the staff were fantastic - very friendly and helpful and really did make our staycation extra special. The Landmark is a beautiful hotel. Thank you so much to all the amazing staff! I",There was nothing to dislike.,United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,August 2021,13 August 2021,,
